time,label,value
2021-01-01,ref,10.3772230044747
2021-01-08,ref,10.7924578101556
2021-01-15,ref,11.5048947471733
2021-01-22,ref,13.3310966846101
2021-01-29,ref,13.1314731798101
2021-02-05,ref,12.2438180253037
2021-02-12,ref,15.4847225404471
2021-02-19,ref,17.3888998579424
2021-02-26,ref,16.3526310957018
2021-03-05,ref,14.0323103129068
2021-03-12,ref,10.2933150443753
2021-03-19,ref,9.60141357087866
2021-03-26,ref,10.091665604241
2021-04-02,ref,8.80783860233052
2021-04-09,ref,10.1662099223978
2021-04-16,ref,10.5243025243888
2021-04-23,ref,13.3741861846282
2021-04-30,ref,14.0949691051294
2021-05-07,ref,11.8998380565883
2021-05-14,ref,9.70481322720931
2021-05-21,ref,11.46469574337
2021-05-28,ref,13.0170159884495
2021-06-04,ref,13.3412383353774
2021-06-11,ref,11.0888501962064
2021-06-18,ref,9.91249926764996
2021-06-25,ref,10.8303739308977
2021-07-02,ref,10.8540273791439
2021-07-09,ref,11.6302442486907
2021-07-16,ref,12.9382224350933
2021-07-23,ref,13.9136681257882
2021-07-30,ref,13.4002424237008
2021-08-06,ref,13.4600250607611
2021-08-13,ref,15.2893312020322
2021-08-20,ref,16.0555306026487
2021-08-27,ref,15.8898754530491
2021-09-03,ref,15.3913035638766
2021-09-10,ref,15.8290568791555
2021-09-17,ref,15.5360951320077
2021-09-24,ref,15.5321507166809
2021-10-01,ref,17.9919144377004
2021-10-08,ref,18.5575399991508
2021-10-15,ref,17.5551164747786
2021-10-22,ref,16.2048275699212
2021-10-29,ref,15.6719743611988
2021-11-05,ref,15.5696649279209
2021-11-12,ref,14.9632953273448
2021-11-19,ref,14.7046923856717
2021-11-26,ref,14.6500186106803
2021-12-03,ref,15.8708991424373
2021-12-10,ref,17.7260594729655
2021-12-17,ref,16.4952847264536
2021-12-24,ref,13.7012181952914
2021-12-31,ref,13.3200384860798
2022-01-07,ref,15.6964654428012
2022-01-14,ref,18.2464248767067
2022-01-21,ref,18.9410680240086
2022-01-28,ref,18.2977333293547
2022-02-04,ref,18.65615019191
2022-02-11,ref,18.7946604892364
2022-02-18,ref,18.2118107365414
2022-02-25,ref,16.8641699902455
2022-03-04,ref,16.4751812077928
2022-03-11,ref,14.7581368922778
2022-03-18,ref,15.0674319658658
2022-03-25,ref,16.7749774789454
2022-04-01,ref,17.3759755822041
2022-04-08,ref,16.6300191764134
2022-04-15,ref,15.6998032429172
2022-04-22,ref,16.1324059892222
2022-04-29,ref,18.5721758984712
2022-05-06,ref,17.919009418018
2022-05-13,ref,17.1100275759628
